System_Timestamp_UTC,Temperature_C,Humidity_RH,GPS_Timestamp_UTC,Latitude,Longitude,Altitude_m,Speed_mps,Climb_mps,Track_deg,Satellites,GPS_Fix_Type
2025-07-11 02:29:39 UTC,-45.00,0.00,2025-07-11 02:29:39 UTC,34.021145,-81.000282,70.10,0.42,0.10,302.08,16,3D
2025-07-11 02:29:44 UTC,23.52,54.65,2025-07-11 02:29:44 UTC,34.021147,-81.000280,70.10,0.36,0.20,293.14,16,3D
2025-07-11 02:29:50 UTC,23.57,54.90,2025-07-11 02:29:49 UTC,34.021142,-81.000275,70.40,0.37,0.00,358.51,16,3D
2025-07-11 02:29:55 UTC,23.55,54.91,2025-07-11 02:29:54 UTC,34.021137,-81.000262,70.60,0.09,0.00,111.08,17,3D
